Province_State,week,cases
District of Columbia,2020-W53,114618
Florida,2020-W04,0
Florida,2020-W05,0
Florida,2020-W07,0
Florida,2020-W08,0
Florida,2020-W09,0
Florida,2020-W11,226
Florida,2020-W12,3360
Florida,2020-W13,17587
Florida,2020-W14,12214
Florida,2020-W16,165066
Florida,2020-W17,205789
Florida,2020-W18,131869
Florida,2020-W20,220149
Florida,2020-W21,339977
Florida,2020-W22,376004
Florida,2020-W24,149120
Florida,2020-W25,606916
Florida,2020-W26,823332
Florida,2020-W27,298775
Florida,2020-W29,2206506
Florida,2020-W30,2740393
Florida,2020-W31,2257912
Florida,2020-W33,2263475
Florida,2020-W34,4120129
Florida,2020-W35,4285439
Florida,2020-W36,623471
Florida,2020-W37,663994
Florida,2020-W38,4722880
Florida,2020-W39,4852020
Florida,2020-W40,2112386
Florida,2020-W42,4481307
Florida,2020-W43,5374407
Florida,2020-W44,4756137
Florida,2020-W46,2630849
Florida,2020-W47,6400427
Florida,2020-W48,6778374
Florida,2020-W49,999319
Florida,2020-W50,1125931
Florida,2020-W51,8178209
Florida,2020-W52,8701654
Florida,2020-W53,5201867
Georgia,2020-W04,0
Georgia,2020-W05,0
Georgia,2020-W07,0
Georgia,2020-W08,0
Georgia,2020-W09,0
Georgia,2020-W11,214
Georgia,2020-W12,2412
Georgia,2020-W13,11587
Georgia,2020-W14,6737
Georgia,2020-W16,111713
Georgia,2020-W17,151584
Georgia,2020-W18,101263
Georgia,2020-W20,182967
Georgia,2020-W21,284228
Georgia,2020-W22,316562
Georgia,2020-W24,114485
Georgia,2020-W25,428953
Georgia,2020-W26,499404
Georgia,2020-W27,160708
Georgia,2020-W29,921861
Georgia,2020-W30,1098040
Georgia,2020-W31,892856
Georgia,2020-W33,932761
Georgia,2020-W34,1727062
Georgia,2020-W35,1840374
Georgia,2020-W36,270471
Georgia,2020-W37,294314
Georgia,2020-W38,2106320
Georgia,2020-W39,2178564
Georgia,2020-W40,949613
Georgia,2020-W42,2021938
Georgia,2020-W43,2421320
Georgia,2020-W44,2136141
Georgia,2020-W46,1267764
Georgia,2020-W47,3064222
Georgia,2020-W48,3226820
Georgia,2020-W49,471563
Georgia,2020-W50,542838
Georgia,2020-W51,3976323
Georgia,2020-W52,4304538
Georgia,2020-W53,2603125
Grand Princess,2020-W04,0
Grand Princess,2020-W05,0
Grand Princess,2020-W07,0
Grand Princess,2020-W08,0
Grand Princess,2020-W09,0
Grand Princess,2020-W11,0
Grand Princess,2020-W12,160
Grand Princess,2020-W13,346
Grand Princess,2020-W14,206
Grand Princess,2020-W16,721
Grand Princess,2020-W17,721
Grand Princess,2020-W18,412
Grand Princess,2020-W20,515
Grand Princess,2020-W21,721
Grand Princess,2020-W22,721
Grand Princess,2020-W24,206
Grand Princess,2020-W25,721
Grand Princess,2020-W26,721
Grand Princess,2020-W27,206
Grand Princess,2020-W29,721
Grand Princess,2020-W30,721
Grand Princess,2020-W31,515
Grand Princess,2020-W33,412
Grand Princess,2020-W34,721
Grand Princess,2020-W35,721
Grand Princess,2020-W36,103
Grand Princess,2020-W37,103
Grand Princess,2020-W38,721
Grand Princess,2020-W39,721
Grand Princess,2020-W40,309
Grand Princess,2020-W42,618
Grand Princess,2020-W43,721
Grand Princess,2020-W44,618
Grand Princess,2020-W46,309
Grand Princess,2020-W47,721
Grand Princess,2020-W48,721
Grand Princess,2020-W49,103
Grand Princess,2020-W50,103
Grand Princess,2020-W51,721
Grand Princess,2020-W52,721
Grand Princess,2020-W53,412
Guam,2020-W04,0
Guam,2020-W05,0
Guam,2020-W07,0
Guam,2020-W08,0
Guam,2020-W09,0
Guam,2020-W11,0
Guam,2020-W12,79
Guam,2020-W13,305
Guam,2020-W14,127
Guam,2020-W16,944
Guam,2020-W17,970
Guam,2020-W18,568
Guam,2020-W20,766
Guam,2020-W21,1123
Guam,2020-W22,1190
Guam,2020-W24,366
Guam,2020-W25,1395
Guam,2020-W26,1645
Guam,2020-W27,510
Guam,2020-W29,2195
Guam,2020-W30,2319
Guam,2020-W31,1766
Guam,2020-W33,2011
Guam,2020-W34,4792
Guam,2020-W35,8224
Guam,2020-W36,1395
Guam,2020-W37,1891
Guam,2020-W38,14259
Guam,2020-W39,15806
Guam,2020-W40,7321
Guam,2020-W42,20864
Guam,2020-W43,28198
Guam,2020-W44,27078
Guam,2020-W46,18010
Guam,2020-W47,44648
Guam,2020-W48,47078
Guam,2020-W49,6852
Guam,2020-W50,7079
Guam,2020-W51,50216
Guam,2020-W52,50774
Guam,2020-W53,29190
Hawaii,2020-W04,0
Hawaii,2020-W05,0
Hawaii,2020-W07,0
Hawaii,2020-W08,0
Hawaii,2020-W09,0
Hawaii,2020-W11,12
Hawaii,2020-W12,183
Hawaii,2020-W13,736
Hawaii,2020-W14,379
Hawaii,2020-W16,3764
Hawaii,2020-W17,4170
Hawaii,2020-W18,2447
Hawaii,2020-W20,3192
Hawaii,2020-W21,4499
Hawaii,2020-W22,4529
Hawaii,2020-W24,1451
Hawaii,2020-W25,5370
Hawaii,2020-W26,5958
Hawaii,2020-W27,1817
Hawaii,2020-W29,9179
Hawaii,2020-W30,10588
Hawaii,2020-W31,9433
Hawaii,2020-W33,18722
Hawaii,2020-W34,41045
Hawaii,2020-W35,52887
Hawaii,2020-W36,8472
Hawaii,2020-W37,10834
Hawaii,2020-W38,78633
Hawaii,2020-W39,83671
Hawaii,2020-W40,37464
Hawaii,2020-W42,84010
Hawaii,2020-W43,101872
Hawaii,2020-W44,90547
Hawaii,2020-W46,50170
Hawaii,2020-W47,119856
Hawaii,2020-W48,125123
Hawaii,2020-W49,18223
Hawaii,2020-W50,19676
Hawaii,2020-W51,141955
Hawaii,2020-W52,148250
Hawaii,2020-W53,86872
Idaho,2020-W04,0
Idaho,2020-W05,0
Idaho,2020-W07,0
Idaho,2020-W08,0
Idaho,2020-W09,0
Idaho,2020-W11,7
Idaho,2020-W12,164
Idaho,2020-W13,1106
Idaho,2020-W14,855
Idaho,2020-W16,10882
Idaho,2020-W17,12664
Idaho,2020-W18,7785
Idaho,2020-W20,11833
Idaho,2020-W21,17738
Idaho,2020-W22,19133
Idaho,2020-W24,6752
Idaho,2020-W25,26117
Idaho,2020-W26,33286
Idaho,2020-W27,11869
Idaho,2020-W29,91637
Idaho,2020-W30,117419
Idaho,2020-W31,98544
Idaho,2020-W33,108931
Idaho,2020-W34,202916
Idaho,2020-W35,217308
Idaho,2020-W36,32081
Idaho,2020-W37,35279
Idaho,2020-W38,255621
Idaho,2020-W39,274779
Idaho,2020-W40,124405
Idaho,2020-W42,307127
Idaho,2020-W43,396414
Idaho,2020-W44,373913
Idaho,2020-W46,243360
Idaho,2020-W47,615133
Idaho,2020-W48,679470
Idaho,2020-W49,101698
Idaho,2020-W50,121179
Idaho,2020-W51,885813
Idaho,2020-W52,939924
Idaho,2020-W53,556475
Illinois,2020-W04,3
Illinois,2020-W05,6
Illinois,2020-W07,8
Illinois,2020-W08,14
Illinois,2020-W09,12
Illinois,2020-W11,176
Illinois,2020-W12,3325
Illinois,2020-W13,18336
Illinois,2020-W14,11050
Illinois,2020-W16,182695
Illinois,2020-W17,261954
Illinois,2020-W18,197261
Illinois,2020-W20,449648
Illinois,2020-W21,721165
Illinois,2020-W22,811983
Illinois,2020-W24,264414
Illinois,2020-W25,943954
Illinois,2020-W26,976114
Illinois,2020-W27,285646
Illinois,2020-W29,1114520
Illinois,2020-W30,1176838
Illinois,2020-W31,883475
Illinois,2020-W33,819013
Illinois,2020-W34,1507021
Illinois,2020-W35,1603196
Illinois,2020-W36,236724
Illinois,2020-W37,263459
Illinois,2020-W38,1893659
Illinois,2020-W39,1987713
Illinois,2020-W40,881250
Illinois,2020-W42,2023833
Illinois,2020-W43,2550339
Illinois,2020-W44,2390525
Illinois,2020-W46,1688558
Illinois,2020-W47,4348230
Illinois,2020-W48,4859778
Illinois,2020-W49,726304
Illinois,2020-W50,848904
Illinois,2020-W51,6151165
Illinois,2020-W52,6462454
Illinois,2020-W53,3809137
Indiana,2020-W04,0
Indiana,2020-W05,0
Indiana,2020-W07,0
Indiana,2020-W08,0
Indiana,2020-W09,0
Indiana,2020-W11,49
Indiana,2020-W12,571
Indiana,2020-W13,5485
Indiana,2020-W14,3944
Indiana,2020-W16,67394
Indiana,2020-W17,92354
Indiana,2020-W18,67566
Indiana,2020-W20,133240
Indiana,2020-W21,208856
Indiana,2020-W22,231641
Indiana,2020-W24,79452
Indiana,2020-W25,289897
Indiana,2020-W26,305944
Indiana,2020-W27,90822
Indiana,2020-W29,379210
Indiana,2020-W30,417887
Indiana,2020-W31,322291
Indiana,2020-W33,316288
Indiana,2020-W34,584032
Indiana,2020-W35,632936
Indiana,2020-W36,94196
Indiana,2020-W37,105804
Indiana,2020-W38,762171
Indiana,2020-W39,801632
Indiana,2020-W40,357407
Indiana,2020-W42,855639
Indiana,2020-W43,1088246
Indiana,2020-W44,1028238
Indiana,2020-W46,733049
Indiana,2020-W47,1929527
Indiana,2020-W48,2225723
Indiana,2020-W49,338977
Indiana,2020-W50,425434
Indiana,2020-W51,3128447
Indiana,2020-W52,3373409
Indiana,2020-W53,2013090
Iowa,2020-W04,0
Iowa,2020-W05,0
Iowa,2020-W07,0
Iowa,2020-W08,0
Iowa,2020-W09,0
Iowa,2020-W11,52
Iowa,2020-W12,332
Iowa,2020-W13,1423
Iowa,2020-W14,921
Iowa,2020-W16,15492
Iowa,2020-W17,29485
Iowa,2020-W18,26232
Iowa,2020-W20,69992
Iowa,2020-W21,112682
Iowa,2020-W22,129968
Iowa,2020-W24,47643
Iowa,2020-W25,174315
Iowa,2020-W26,190899
Iowa,2020-W27,57919
Iowa,2020-W29,260412
Iowa,2020-W30,285745
Iowa,2020-W31,218285
Iowa,2020-W33,206132
Iowa,2020-W34,381859
Iowa,2020-W35,425849
Iowa,2020-W36,65139
Iowa,2020-W37,74676
Iowa,2020-W38,543694
Iowa,2020-W39,587050
Iowa,2020-W40,264739
Iowa,2020-W42,628160
Iowa,2020-W43,783695
Iowa,2020-W44,733578
Iowa,2020-W46,548757
Iowa,2020-W47,1408669
Iowa,2020-W48,1558110
Iowa,2020-W49,230631
Iowa,2020-W50,256249
Iowa,2020-W51,1837543
Iowa,2020-W52,1909161
Iowa,2020-W53,1116735
Kansas,2020-W04,0
Kansas,2020-W05,0
Kansas,2020-W07,0
Kansas,2020-W08,0
Kansas,2020-W09,0
Kansas,2020-W11,22
Kansas,2020-W12,256
Kansas,2020-W13,1292
Kansas,2020-W14,806
Kansas,2020-W16,11406
Kansas,2020-W17,18635
Kansas,2020-W18,15377
Kansas,2020-W20,39001
Kansas,2020-W21,60647
Kansas,2020-W22,66038
Kansas,2020-W24,22121
Kansas,2020-W25,82381
Kansas,2020-W26,91928
Kansas,2020-W27,28579
Kansas,2020-W29,145775
Kansas,2020-W30,167870
Kansas,2020-W31,132691
Kansas,2020-W33,133247
Kansas,2020-W34,252647
Kansas,2020-W35,281885
Kansas,2020-W36,42579
Kansas,2020-W37,48721
Kansas,2020-W38,360660
Kansas,2020-W39,401209
Kansas,2020-W40,181868
Kansas,2020-W42,432204
Kansas,2020-W43,541201
Kansas,2020-W44,507065
Kansas,2020-W46,351480
Kansas,2020-W47,920017
Kansas,2020-W48,1053967
Kansas,2020-W49,159359
Kansas,2020-W50,187995
Kansas,2020-W51,1388967
Kansas,2020-W52,1476571
Kansas,2020-W53,886955
Kentucky,2020-W04,0
Kentucky,2020-W05,0
Kentucky,2020-W07,0
Kentucky,2020-W08,0
Kentucky,2020-W09,0
Kentucky,2020-W11,48
Kentucky,2020-W12,379
Kentucky,2020-W13,1848
Kentucky,2020-W14,1107
Kentucky,2020-W16,16900
Kentucky,2020-W17,24890
Kentucky,2020-W18,17776
Kentucky,2020-W20,36898
Kentucky,2020-W21,58025
Kentucky,2020-W22,64656
Kentucky,2020-W24,24890
Kentucky,2020-W25,92320
Kentucky,2020-W26,102218
Kentucky,2020-W27,30971
Kentucky,2020-W29,148586
Kentucky,2020-W30,176939
Kentucky,2020-W31,143961
Kentucky,2020-W33,153844
Kentucky,2020-W34,290939
Kentucky,2020-W35,322039
Kentucky,2020-W36,48396
Kentucky,2020-W37,56945
Kentucky,2020-W38,416192
Kentucky,2020-W39,449914
Kentucky,2020-W40,203635
Kentucky,2020-W42,508809
Kentucky,2020-W43,647256
Kentucky,2020-W44,614763
Kentucky,2020-W46,406567
Kentucky,2020-W47,1040462
Kentucky,2020-W48,1178210
Kentucky,2020-W49,179041
Kentucky,2020-W50,223103
Kentucky,2020-W51,1637490
Kentucky,2020-W52,1755100
Kentucky,2020-W53,1050529
Louisiana,2020-W04,0
Louisiana,2020-W05,0
Louisiana,2020-W07,0
Louisiana,2020-W08,0
Louisiana,2020-W09,0
Louisiana,2020-W11,193
Louisiana,2020-W12,3097
Louisiana,2020-W13,16258
Louisiana,2020-W14,9262
Louisiana,2020-W16,157643
Louisiana,2020-W17,179799
Louisiana,2020-W18,110015
Louisiana,2020-W20,168537
Louisiana,2020-W21,252586
Louisiana,2020-W22,271457
Louisiana,2020-W24,92902
Louisiana,2020-W25,339824
Louisiana,2020-W26,373500
Louisiana,2020-W27,115176
