Province_State,week,retail_and_recreation_percent_change_from_baseline
Idaho,2020-W33,7.669491525423729
Idaho,2020-W34,2.8181818181818183
Idaho,2020-W35,1.9555555555555555
Idaho,2020-W36,4.813953488372093
Idaho,2020-W37,4.786666666666667
Idaho,2020-W38,5.529411764705882
Idaho,2020-W39,3.0504201680672267
Idaho,2020-W40,3.652542372881356
Idaho,2020-W41,1.5847457627118644
Idaho,2020-W42,0.40336134453781514
Idaho,2020-W43,-1.596638655462185
Idaho,2020-W44,-0.6974789915966386
Idaho,2020-W45,-2.8220338983050848
Idaho,2020-W46,-7.871794871794871
Idaho,2020-W47,-5.572649572649572
Idaho,2020-W48,-13.181034482758621
Idaho,2020-W49,-3.8823529411764706
Idaho,2020-W50,-5.5423728813559325
Idaho,2020-W51,-1.3728813559322033
Idaho,2020-W52,-9.530434782608696
Idaho,2020-W53,1.0434782608695652
Illinois,2020-W07,8.060240963855422
Illinois,2020-W08,5.598290598290598
Illinois,2020-W09,10.749571183533448
Illinois,2020-W10,15.331046312178387
Illinois,2020-W11,7.335034013605442
Illinois,2020-W12,-31.26043405676127
Illinois,2020-W13,-41.91914191419142
Illinois,2020-W14,-37.18801996672213
Illinois,2020-W15,-41.49152542372882
Illinois,2020-W16,-34.54295532646048
Illinois,2020-W17,-31.78839590443686
Illinois,2020-W18,-25.745704467353953
Illinois,2020-W19,-24.7
Illinois,2020-W20,-26.98181818181818
Illinois,2020-W21,-21.647382920110193
Illinois,2020-W22,-17.641873278236915
Illinois,2020-W23,-10.127777777777778
Illinois,2020-W24,-9.710306406685238
Illinois,2020-W25,-8.122562674094707
Illinois,2020-W26,-7.575
Illinois,2020-W27,-4.441988950276243
Illinois,2020-W28,-4.075
Illinois,2020-W29,-5.678670360110804
Illinois,2020-W30,-6.077348066298343
Illinois,2020-W31,-5.584958217270195
Illinois,2020-W32,-1.9916434540389971
Illinois,2020-W33,1.776536312849162
Illinois,2020-W34,-6.23021582733813
Illinois,2020-W35,-9.302158273381295
Illinois,2020-W36,-8.553956834532373
Illinois,2020-W37,-5.897435897435898
Illinois,2020-W38,0.3426183844011142
Illinois,2020-W39,-1.3111111111111111
Illinois,2020-W40,-1.569060773480663
Illinois,2020-W41,-2.1944444444444446
Illinois,2020-W42,-5.368421052631579
Illinois,2020-W43,-7.343406593406593
Illinois,2020-W44,-7.958677685950414
Illinois,2020-W45,-7.7707182320441985
Illinois,2020-W46,-13.645429362880886
Illinois,2020-W47,-15.132231404958677
Illinois,2020-W48,-21.99173553719008
Illinois,2020-W49,-13.6398891966759
Illinois,2020-W50,-14.317679558011049
Illinois,2020-W51,-10.98060941828255
Illinois,2020-W52,-17.014044943820224
Illinois,2020-W53,-8.626865671641792
Indiana,2020-W07,9.7953216374269
Indiana,2020-W08,6.529411764705882
Indiana,2020-W09,8.994957983193277
Indiana,2020-W10,15.944256756756756
Indiana,2020-W11,6.604026845637584
Indiana,2020-W12,-25.259933774834437
Indiana,2020-W13,-39.44572368421053
Indiana,2020-W14,-36.763636363636365
Indiana,2020-W15,-38.85878962536023
Indiana,2020-W16,-32.05428571428571
Indiana,2020-W17,-26.60857142857143
Indiana,2020-W18,-19.106017191977077
Indiana,2020-W19,-15.158045977011493
Indiana,2020-W20,-10.012755102040817
Indiana,2020-W21,-4.057142857142857
Indiana,2020-W22,-1.0739856801909309
Indiana,2020-W23,2.843230403800475
Indiana,2020-W24,3.0047169811320753
Indiana,2020-W25,5.221698113207547
Indiana,2020-W26,3.3411764705882354
Indiana,2020-W27,5.498795180722891
Indiana,2020-W28,4.524940617577197
Indiana,2020-W29,3.037914691943128
Indiana,2020-W30,0.7730496453900709
Indiana,2020-W31,0.839622641509434
Indiana,2020-W32,4.249406175771972
Indiana,2020-W33,2.7393364928909953
Indiana,2020-W34,-4.955555555555556
Indiana,2020-W35,-6.711111111111111
Indiana,2020-W36,-3.925373134328358
Indiana,2020-W37,-0.9923954372623575
Indiana,2020-W38,3.332547169811321
Indiana,2020-W39,2.830188679245283
Indiana,2020-W40,1.1267605633802817
Indiana,2020-W41,0.7126168224299065
Indiana,2020-W42,-2.400932400932401
Indiana,2020-W43,-3.8607888631090486
Indiana,2020-W44,-3.988372093023256
Indiana,2020-W45,-2.9414519906323187
Indiana,2020-W46,-6.694444444444445
Indiana,2020-W47,-8.986143187066975
Indiana,2020-W48,-15.857142857142858
Indiana,2020-W49,-7.900232018561485
